area_code_per_principal_codes_website,JACS_3.0_subject_area,principal_code,JACS_3.0_principal_subject,area_code_per_detailed_codes_website,area_per_detailed_codes_website,detailed_code,JACS_3.0_detailed_subject,flatJACS_3.0_detailed_subject
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B160,Physiotherapy,Physiotherapy
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B170,Podiatry,Podiatry
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B190,"Anatomy, physiology & pathology not elsewhere classified","Anatomy, physiology & pathology not elsewhere classified"
2,Subjects allied to medicine,B2,"Pharmacology, toxicology & pharmacy",B,Subjects Allied to Medicine,B200,"Pharmacology, toxicology & pharmacy","Pharmacology, toxicology & pharmacy"
2,Subjects allied to medicine,B2,"Pharmacology, toxicology & pharmacy",B,Subjects Allied to Medicine,B210,Pharmacology,Pharmacology
2,Subjects allied to medicine,B2,"Pharmacology, toxicology & pharmacy",B,Subjects Allied to Medicine,B220,Toxicology,Toxicology
2,Subjects allied to medicine,B2,"Pharmacology, toxicology & pharmacy",B,Subjects Allied to Medicine,B230,Pharmacy,Pharmacy
2,Subjects allied to medicine,B2,"Pharmacology, toxicology & pharmacy",B,Subjects Allied to Medicine,B290,"Pharmacology, toxicology & pharmacy not elsewhere classified","Pharmacology, toxicology & pharmacy not elsewhere classified"
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B300,"Complementary medicines, therapies & well-being","Complementary medicines, therapies & well-being"
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B310,Osteopathy,Osteopathy
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B320,Chiropractic,Chiropractic
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B340,Alternative medicine & therapies,Alternative medicine & therapies
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B341,Chinese,Chinese
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B342,Herbalism,Herbalism
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B343,Acupuncture,Acupuncture
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B344,Aromatherapy,Aromatherapy
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B345,Hypnotherapy,Hypnotherapy
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B346,Reflexology,Reflexology
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B350,Hair & beauty science,Hair & beauty science
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B351,Hair services,Hair services
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B352,Beauty therapies,Beauty therapies
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B353,Make-up,Make-up
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B360,Spa & water-based therapies,Spa & water-based therapies
2,Subjects allied to medicine,B3,"Complementary medicines, therapies & well-being",B,Subjects Allied to Medicine,B390,"Complementary medicines, therapies & well-being not elsewhere classified","Complementary medicines, therapies & well-being not elsewhere classified"
2,Subjects allied to medicine,B4,Nutrition,B,Subjects Allied to Medicine,B400,Nutrition,Nutrition
2,Subjects allied to medicine,B4,Nutrition,B,Subjects Allied to Medicine,B410,Dietetics,Dietetics
2,Subjects allied to medicine,B4,Nutrition,B,Subjects Allied to Medicine,B490,Nutrition not elsewhere classified,Nutrition not elsewhere classified
2,Subjects allied to medicine,B5,Ophthalmics,B,Subjects Allied to Medicine,B500,Ophthalmics,Ophthalmics
2,Subjects allied to medicine,B5,Ophthalmics,B,Subjects Allied to Medicine,B510,Optometry,Optometry
2,Subjects allied to medicine,B5,Ophthalmics,B,Subjects Allied to Medicine,B520,Orthoptics,Orthoptics
2,Subjects allied to medicine,B5,Ophthalmics,B,Subjects Allied to Medicine,B590,Ophthalmics not elsewhere classified,Ophthalmics not elsewhere classified
2,Subjects allied to medicine,B6,Aural & oral sciences,B,Subjects Allied to Medicine,B600,Aural & oral sciences,Aural & oral sciences
2,Subjects allied to medicine,B6,Aural & oral sciences,B,Subjects Allied to Medicine,B610,Audiology,Audiology
2,Subjects allied to medicine,B6,Aural & oral sciences,B,Subjects Allied to Medicine,B620,Speech science,Speech science
2,Subjects allied to medicine,B6,Aural & oral sciences,B,Subjects Allied to Medicine,B630,Language pathology,Language pathology
2,Subjects allied to medicine,B6,Aural & oral sciences,B,Subjects Allied to Medicine,B690,Aural & oral sciences not elsewhere classified,Aural & oral sciences not elsewhere classified
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B700,Nursing,Nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B701,Palliative care nursing,Palliative care nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B702,Clinical practice nursing,Clinical practice nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B710,Community nursing,Community nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B712,Health visiting,Health visiting
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B713,School nursing,School nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B714,Practice nursing,Practice nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B720,Midwifery,Midwifery
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B730,Children's nursing,Children's nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B731,Neonatal care,Neonatal care
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B740,Adult nursing,Adult nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B741,Older people nursing,Older people nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B750,Dental nursing,Dental nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B760,Mental health nursing,Mental health nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B761,Learning disability nursing,Learning disability nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B770,Medical nursing,Medical nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B771,Critical care nursing,Critical care nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B772,Surgical nursing,Surgical nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B773,Emergency nursing,Emergency nursing
2,Subjects allied to medicine,B7,Nursing,B,Subjects Allied to Medicine,B790,Nursing not elsewhere classified,Nursing not elsewhere classified
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B800,Medical technology,Medical technology
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B810,Cardiography,Cardiography
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B820,Radiology,Radiology
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B821,"Radiography, diagnostic","Radiography, diagnostic"
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B822,"Radiography, therapeutic","Radiography, therapeutic"
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B830,Biomechanics & prosthetics (non-clinical),Biomechanics & prosthetics (non-clinical)
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B840,Dental technology,Dental technology
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B850,Mortuary technology,Mortuary technology
2,Subjects allied to medicine,B8,Medical technology,B,Subjects Allied to Medicine,B890,Medical technology not elsewhere classified,Medical technology not elsewhere classified
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B900,Others in subjects allied to medicine,Others in subjects allied to medicine
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B910,Environmental health,Environmental health
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B920,Occupational health,Occupational health
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B930,Occupational therapy,Occupational therapy
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B940,Counselling,Counselling
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B950,Paramedical science,Paramedical science
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B960,Physician assistant studies,Physician assistant studies
2,Subjects allied to medicine,B9,Others in subjects allied to medicine,B,Subjects Allied to Medicine,B990,Subjects allied to medicine not elsewhere classified,Subjects allied to medicine not elsewhere classified
3,Biological sciences,C0,Broadly-based programmes within biological sciences,C,Biological Sciences,C000,Biological sciences,Biological sciences
3,Biological sciences,C1,Biology,C,Biological Sciences,C100,Biology,Biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C110,Applied biology,Applied biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C111,Parasitology,Parasitology
3,Biological sciences,C1,Biology,C,Biological Sciences,C120,Behavioural biology,Behavioural biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C130,Cell biology,Cell biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C131,Applied cell biology,Applied cell biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C140,Developmental/Reproductive biology,Developmental/Reproductive biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C141,Developmental biology,Developmental biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C142,Reproductive biology,Reproductive biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C150,Environmental biology,Environmental biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C160,Marine/Freshwater biology,Marine/Freshwater biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C161,Marine biology,Marine biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C162,Freshwater biology,Freshwater biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C170,Population biology,Population biology
3,Biological sciences,C1,Biology,C,Biological Sciences,C180,Ecology,Ecology
3,Biological sciences,C1,Biology,C,Biological Sciences,C181,Biodiversity,Biodiversity
3,Biological sciences,C1,Biology,C,Biological Sciences,C182,Evolution,Evolution
3,Biological sciences,C1,Biology,C,Biological Sciences,C183,Community ecology,Community ecology
3,Biological sciences,C1,Biology,C,Biological Sciences,C184,Conservation ecology,Conservation ecology
3,Biological sciences,C1,Biology,C,Biological Sciences,C185,Ecosystem ecology & land use,Ecosystem ecology & land use
3,Biological sciences,C1,Biology,C,Biological Sciences,C186,Population ecology,Population ecology
3,Biological sciences,C1,Biology,C,Biological Sciences,C187,Ecotoxicology,Ecotoxicology
3,Biological sciences,C1,Biology,C,Biological Sciences,C190,Biology not elsewhere classified,Biology not elsewhere classified
3,Biological sciences,C1,Biology,C,Biological Sciences,C191,Biometry,Biometry
3,Biological sciences,C2,Botany,C,Biological Sciences,C200,Botany,Botany
3,Biological sciences,C2,Botany,C,Biological Sciences,C210,Applied botany,Applied botany
3,Biological sciences,C2,Botany,C,Biological Sciences,C220,Mycology,Mycology
3,Biological sciences,C2,Botany,C,Biological Sciences,C230,Plant biotechnology,Plant biotechnology
3,Biological sciences,C2,Botany,C,Biological Sciences,C240,Plant cell science,Plant cell science
3,Biological sciences,C2,Botany,C,Biological Sciences,C250,Plant pathology,Plant pathology
3,Biological sciences,C2,Botany,C,Biological Sciences,C260,Plant physiology,Plant physiology
3,Biological sciences,C2,Botany,C,Biological Sciences,C270,Developmental & reproductive plant biology,Developmental & reproductive plant biology
3,Biological sciences,C2,Botany,C,Biological Sciences,C280,Systematic botany,Systematic botany
3,Biological sciences,C2,Botany,C,Biological Sciences,C290,Botany not elsewhere classified,Botany not elsewhere classified
3,Biological sciences,C3,Zoology,C,Biological Sciences,C300,Zoology,Zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C310,Applied zoology,Applied zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C320,Cell zoology,Cell zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C330,Developmental & reproductive zoology,Developmental & reproductive zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C340,Entomology,Entomology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C350,Marine zoology,Marine zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C360,Pest science,Pest science
3,Biological sciences,C3,Zoology,C,Biological Sciences,C380,Systematic zoology,Systematic zoology
3,Biological sciences,C3,Zoology,C,Biological Sciences,C390,Zoology not elsewhere classified,Zoology not elsewhere classified
3,Biological sciences,C4,Genetics,C,Biological Sciences,C400,Genetics,Genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C410,Applied genetics,Applied genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C420,Human genetics,Human genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C430,Medical & veterinary genetics,Medical & veterinary genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C431,Medical genetics,Medical genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C432,Veterinary genetics,Veterinary genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C440,Molecular genetics,Molecular genetics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C441,Transcriptomics,Transcriptomics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C450,Genomics,Genomics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C451,Functional genomics,Functional genomics
3,Biological sciences,C4,Genetics,C,Biological Sciences,C452,Genome organisation,Genome organisation
3,Biological sciences,C4,Genetics,C,Biological Sciences,C460,Genetic engineering,Genetic engineering
3,Biological sciences,C4,Genetics,C,Biological Sciences,C470,Population genetics & evolution,Population genetics & evolution
3,Biological sciences,C4,Genetics,C,Biological Sciences,C490,Genetics not elsewhere classified,Genetics not elsewhere classified
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C500,Microbiology,Microbiology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C510,Applied microbiology,Applied microbiology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C520,Medical & veterinary microbiology,Medical & veterinary microbiology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C521,Medical microbiology,Medical microbiology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C522,Veterinary microbiology,Veterinary microbiology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C530,Bacteriology,Bacteriology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C540,Virology,Virology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C550,Immunology,Immunology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C570,Serology,Serology
3,Biological sciences,C5,Microbiology,C,Biological Sciences,C590,Microbiology not elsewhere classified,Microbiology not elsewhere classified
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C600,Sport & exercise science,Sport & exercise science
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C610,Sport coaching,Sport coaching
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C620,Sport development,Sport development
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C630,"Sport conditioning, rehabilitation & therapy","Sport conditioning, rehabilitation & therapy"
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C640,Sport studies,Sport studies
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C650,Sport technology,Sport technology
3,Biological sciences,C6,Sport & exercise science,C,Biological Sciences,C690,Sport & exercise science not elsewhere classified,Sport & exercise science not elsewhere classified
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C700,"Molecular biology, biophysics & biochemistry","Molecular biology, biophysics & biochemistry"
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C710,"Applied molecular biology, biophysics & biochemistry","Applied molecular biology, biophysics & biochemistry"
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C720,Biological chemistry,Biological chemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C730,Metabolic biochemistry,Metabolic biochemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C740,Medical & veterinary biochemistry,Medical & veterinary biochemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C741,Medical biochemistry,Medical biochemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C742,Veterinary biochemistry,Veterinary biochemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C750,Plant biochemistry,Plant biochemistry
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C760,Biomolecular science,Biomolecular science
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C770,Biophysical science,Biophysical science
3,Biological sciences,C7,"Molecular biology, biophysics & biochemistry",C,Biological Sciences,C790,"Molecular biology, biophysics & biochemistry not elsewhere classified","Molecular biology, biophysics & biochemistry not elsewhere classified"
3,Biological sciences,C8,Psychology,C,Biological Sciences,C800,Psychology,Psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C810,Applied psychology,Applied psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C811,Occupational psychology,Occupational psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C812,Educational psychology,Educational psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C813,Sport psychology,Sport psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C814,Organisational psychology,Organisational psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C815,Business psychology,Business psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C816,Forensic psychology,Forensic psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C820,Developmental psychology,Developmental psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C821,Child psychology,Child psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C822,The psychology of ageing,The psychology of ageing
3,Biological sciences,C8,Psychology,C,Biological Sciences,C830,Methodological & conceptual issues in psychology,Methodological & conceptual issues in psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C831,Research methods in psychology,Research methods in psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C832,Quantitative psychology,Quantitative psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C833,Qualitative psychology,Qualitative psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C834,History of psychology,History of psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C835,Philosophy of psychology,Philosophy of psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C840,Psychology in health & medicine,Psychology in health & medicine
3,Biological sciences,C8,Psychology,C,Biological Sciences,C841,Health psychology,Health psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C842,Clinical psychology,Clinical psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C843,Counselling psychology,Counselling psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C844,Psychotherapy,Psychotherapy
3,Biological sciences,C8,Psychology,C,Biological Sciences,C845,Clinical neuropsychology,Clinical neuropsychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C846,Community psychology,Community psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C847,Psychoanalytical studies,Psychoanalytical studies
3,Biological sciences,C8,Psychology,C,Biological Sciences,C848,Psychology of mental health,Psychology of mental health
3,Biological sciences,C8,Psychology,C,Biological Sciences,C850,Cognitive & affective psychology,Cognitive & affective psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C851,Psychological modelling,Psychological modelling
3,Biological sciences,C8,Psychology,C,Biological Sciences,C852,Psychology of communication,Psychology of communication
3,Biological sciences,C8,Psychology,C,Biological Sciences,C853,Psychology of memory & learning,Psychology of memory & learning
3,Biological sciences,C8,Psychology,C,Biological Sciences,C854,Psychology of perception,Psychology of perception
3,Biological sciences,C8,Psychology,C,Biological Sciences,C855,Psychology of higher cognitive processes,Psychology of higher cognitive processes
3,Biological sciences,C8,Psychology,C,Biological Sciences,C856,Experimental psychology,Experimental psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C857,Affective psychology,Affective psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C858,Transpersonal psychology,Transpersonal psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C860,Psychobiology,Psychobiology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C861,Cognitive neuroscience,Cognitive neuroscience
3,Biological sciences,C8,Psychology,C,Biological Sciences,C862,Affective neuroscience,Affective neuroscience
3,Biological sciences,C8,Psychology,C,Biological Sciences,C863,Psychopharmacology,Psychopharmacology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C864,Evolutionary psychology,Evolutionary psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C865,Animal psychology,Animal psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C870,Personality & individual differences,Personality & individual differences
3,Biological sciences,C8,Psychology,C,Biological Sciences,C871,Psychometrics,Psychometrics
3,Biological sciences,C8,Psychology,C,Biological Sciences,C872,Psychology of gender,Psychology of gender
3,Biological sciences,C8,Psychology,C,Biological Sciences,C873,Cross-cultural psychology,Cross-cultural psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C880,Social psychology,Social psychology
3,Biological sciences,C8,Psychology,C,Biological Sciences,C881,Social cognition,Social cognition
3,Biological sciences,C8,Psychology,C,Biological Sciences,C890,Psychology not elsewhere classified,Psychology not elsewhere classified
3,Biological sciences,C9,Others in Biological Sciences,C,Biological Sciences,C900,Others in Biological Sciences,Others in Biological Sciences
3,Biological sciences,C9,Others in Biological Sciences,C,Biological Sciences,C910,Applied biological sciences,Applied biological sciences
3,Biological sciences,C9,Others in Biological Sciences,C,Biological Sciences,C990,Biological sciences not elsewhere classified,Biological sciences not elsewhere classified
5,Agriculture & related subjects,D0,Broadly-based programmes within agriculture & related subjects,D,"Veterinary Sciences, Agriculture and related subjects",D000,"Veterinary sciences, agriculture & related subjects","Veterinary sciences, agriculture & related subjects"
4,Veterinary science,D1,Pre-clinical veterinary medicine,D,"Veterinary Sciences, Agriculture and related subjects",D100,Pre-clinical veterinary medicine,Pre-clinical veterinary medicine
4,Veterinary science,D1,Pre-clinical veterinary medicine,D,"Veterinary Sciences, Agriculture and related subjects",D190,Pre-clinical veterinary medicine not elsewhere classified,Pre-clinical veterinary medicine not elsewhere classified
4,Veterinary science,D2,Clinical veterinary medicine & dentistry,D,"Veterinary Sciences, Agriculture and related subjects",D200,Clinical veterinary medicine & dentistry,Clinical veterinary medicine & dentistry
4,Veterinary science,D2,Clinical veterinary medicine & dentistry,D,"Veterinary Sciences, Agriculture and related subjects",D210,Clinical veterinary medicine,Clinical veterinary medicine
4,Veterinary science,D2,Clinical veterinary medicine & dentistry,D,"Veterinary Sciences, Agriculture and related subjects",D220,Clinical veterinary dentistry,Clinical veterinary dentistry
4,Veterinary science,D2,Clinical veterinary medicine & dentistry,D,"Veterinary Sciences, Agriculture and related subjects",D290,Clinical veterinary medicine & dentistry not elsewhere classified,Clinical veterinary medicine & dentistry not elsewhere classified
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D300,Animal science,Animal science
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D310,Veterinary nursing,Veterinary nursing
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D320,Animal health,Animal health
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D321,Animal anatomy,Animal anatomy
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D322,Animal physiology,Animal physiology
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D323,Animal pathology,Animal pathology
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D324,Animal pharmacology,Animal pharmacology
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D325,Animal toxicology,Animal toxicology
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D326,Animal pharmacy,Animal pharmacy
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D327,Animal nutrition,Animal nutrition
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D328,Animal welfare,Animal welfare
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D330,Veterinary public health,Veterinary public health
5,Agriculture & related subjects,D3,Animal science,D,"Veterinary Sciences, Agriculture and related subjects",D340,Overseas veterinary development,Overseas veterinary development
